RegionalYear,RegionalSite,HostSeed,Seed1UID,Seed2UID,Seed3UID,Seed4UID,WinnerUID,RunnerUpUID,OneWinUID,NoWinUID
2024,Austin,1,2024.SB.Texas,2024.SB.Northwestern,2024.SB.SaintFrancis-PA,2024.SB.Siena,2024.SB.Texas,2024.SB.Northwestern,2024.SB.SaintFrancis-PA,2024.SB.Siena
2024,Norman,2,2024.SB.Oklahoma,2024.SB.Oregon,2024.SB.BostonU,2024.SB.ClevelandSt,2024.SB.Oklahoma,2024.SB.Oregon,2024.SB.BostonU,2024.SB.ClevelandSt
2024,Knoxville,3,2024.SB.Tennessee,2024.SB.Virginia,2024.SB.Miami-OH,2024.SB.Dayton,2024.SB.Tennessee,2024.SB.Virginia,2024.SB.Miami-OH,2024.SB.Dayton
2024,Gainesville,4,2024.SB.Florida,2024.SB.SouthAlabama,2024.SB.FlaAtlantic,2024.SB.FGCU,2024.SB.Florida,2024.SB.SouthAlabama,2024.SB.FGCU,2024.SB.FlaAtlantic
2024,Stillwater,5,2024.SB.OklahomaSt,2024.SB.Kentucky,2024.SB.Michigan,2024.SB.NorthernColo,2024.SB.OklahomaSt,2024.SB.Michigan,2024.SB.Kentucky,2024.SB.NorthernColo
2024,Los Angeles,6,2024.SB.UCLA,2024.SB.VirginiaTech,2024.SB.SanDiegoSt,2024.SB.GrandCanyon,2024.SB.UCLA,2024.SB.VirginiaTech,2024.SB.GrandCanyon,2024.SB.SanDiegoSt
2024,Columbia,7,2024.SB.Missouri,2024.SB.Washington,2024.SB.Indiana,2024.SB.Omaha,2024.SB.Missouri,2024.SB.Omaha,2024.SB.Washington,2024.SB.Indiana
2024,Stanford,8,2024.SB.Stanford,2024.SB.MississippiSt,2024.SB.CalStFullerton,2024.SB.SaintMary's-CA,2024.SB.Stanford,2024.SB.CalStFullerton,2024.SB.MississippiSt,2024.SB.SaintMary's-CA
2024,Baton Rouge,9,2024.SB.LSU,2024.SB.California,2024.SB.SouthernIll,2024.SB.JacksonSt,2024.SB.LSU,2024.SB.SouthernIll,2024.SB.California,2024.SB.JacksonSt
2024,Durham,10,2024.SB.Duke,2024.SB.SouthCarolina,2024.SB.Utah,2024.SB.MorganSt,2024.SB.Duke,2024.SB.SouthCarolina,2024.SB.Utah,2024.SB.MorganSt
2024,Athens,11,2024.SB.Georgia,2024.SB.Charlotte,2024.SB.Liberty,2024.SB.UNCW,2024.SB.Georgia,2024.SB.Liberty,2024.SB.Charlotte,2024.SB.UNCW
2024,Fayetteville,12,2024.SB.Arkansas,2024.SB.Arizona,2024.SB.Villanova,2024.SB.SoutheastMoSt,2024.SB.Arizona,2024.SB.Villanova,2024.SB.Arkansas,2024.SB.SoutheastMoSt
2024,Lafayette,13,2024.SB.Louisiana,2024.SB.Baylor,2024.SB.OleMiss,2024.SB.Princeton,2024.SB.Baylor,2024.SB.Louisiana,2024.SB.Princeton,2024.SB.OleMiss
2024,Tuscaloosa,14,2024.SB.Alabama,2024.SB.Clemson,2024.SB.SoutheasternLa,2024.SB.USCUpstate,2024.SB.Alabama,2024.SB.SoutheasternLa,2024.SB.Clemson,2024.SB.USCUpstate
2024,Tallahassee,15,2024.SB.FloridaSt,2024.SB.Auburn,2024.SB.UCF,2024.SB.Chattanooga,2024.SB.FloridaSt,2024.SB.Auburn,2024.SB.UCF,2024.SB.Chattanooga
