,Unnamed: 0,RegionalYear,RegionalSite,HostSeed,Seed1UID,Seed2UID,Seed3UID,Seed4UID,WinnerUID,RunnerUpUID,OneWinUID,NoWinUID,BaseWinnerCorrect,BaseRunnerUpCorrect,BaseOneWinTeamCorrect,BaseNoWinTeamCorrect,BaseAllTeamsCorrect,SADPWinnerCorrect,SADPRunnerUpCorrect,SADPOneWinTeamCorrect,SADPNoWinTeamCorrect,SADPAllTeamsCorrect,CADPWinnerCorrect,CADPRunnerUpCorrect,CADPOneWinTeamCorrect,CADPNoWinTeamCorrect,CADPAllTeamsCorrect,CSADPWinnerCorrect,CSADPRunnerUpCorrect,CSADPOneWinTeamCorrect,CSADPNoWinTeamCorrect,CSADPAllTeamsCorrect
0,0,2024,Austin,1,2024.SB.Texas,2024.SB.Northwestern,2024.SB.SaintFrancis-PA,2024.SB.Siena,2024.SB.Texas,2024.SB.Northwestern,2024.SB.SaintFrancis-PA,2024.SB.Siena,7812.0,2736.0,2427.0,7347.0,2027.0,9673.0,2533.0,2477.0,9749.0,2471.0,9945.0,8071.0,7263.0,9098.0,7213.0,9999.0,7041.0,6999.0,9954.0,6998.0
1,1,2024,Norman,2,2024.SB.Oklahoma,2024.SB.Oregon,2024.SB.BostonU,2024.SB.ClevelandSt,2024.SB.Oklahoma,2024.SB.Oregon,2024.SB.BostonU,2024.SB.ClevelandSt,4706.0,606.0,348.0,8682.0,342.0,6478.0,145.0,131.0,9975.0,131.0,9831.0,5021.0,5048.0,9995.0,5003.0,9834.0,1877.0,1875.0,10000.0,1875.0
2,2,2024,Knoxville,3,2024.SB.Tennessee,2024.SB.Virginia,2024.SB.Miami-OH,2024.SB.Dayton,2024.SB.Tennessee,2024.SB.Virginia,2024.SB.Miami-OH,2024.SB.Dayton,7837.0,1036.0,1249.0,4837.0,680.0,9862.0,368.0,382.0,6506.0,348.0,9979.0,6633.0,6339.0,9465.0,6315.0,10000.0,3943.0,3938.0,9706.0,3938.0
3,3,2024,Gainesville,4,2024.SB.Florida,2024.SB.SouthAlabama,2024.SB.FlaAtlantic,2024.SB.FGCU,2024.SB.Florida,2024.SB.SouthAlabama,2024.SB.FGCU,2024.SB.FlaAtlantic,7758.0,2228.0,3163.0,919.0,463.0,9961.0,2339.0,2117.0,339.0,233.0,9996.0,4298.0,1735.0,914.0,709.0,10000.0,3957.0,1150.0,404.0,342.0
4,4,2024,Stillwater,5,2024.SB.OklahomaSt,2024.SB.Kentucky,2024.SB.Michigan,2024.SB.NorthernColo,2024.SB.OklahomaSt,2024.SB.Michigan,2024.SB.Kentucky,2024.SB.NorthernColo,7961.0,5664.0,4513.0,5665.0,3507.0,9700.0,7796.0,7236.0,9046.0,6983.0,7856.0,1990.0,1745.0,9796.0,1692.0,9787.0,2426.0,2399.0,9992.0,2392.0
5,5,2024,Los Angeles,6,2024.SB.UCLA,2024.SB.VirginiaTech,2024.SB.SanDiegoSt,2024.SB.GrandCanyon,2024.SB.UCLA,2024.SB.VirginiaTech,2024.SB.GrandCanyon,2024.SB.SanDiegoSt,1254.0,2150.0,2601.0,5492.0,361.0,974.0,912.0,4751.0,7352.0,491.0,2836.0,2711.0,4341.0,4581.0,1162.0,1850.0,1828.0,5111.0,5266.0,939.0
6,6,2024,Columbia,7,2024.SB.Missouri,2024.SB.Washington,2024.SB.Indiana,2024.SB.Omaha,2024.SB.Missouri,2024.SB.Omaha,2024.SB.Washington,2024.SB.Indiana,3840.0,2342.0,2365.0,3249.0,509.0,6682.0,1735.0,2049.0,3821.0,669.0,8850.0,131.0,1622.0,1606.0,79.0,9297.0,80.0,1039.0,1708.0,64.0
7,7,2024,Stanford,8,2024.SB.Stanford,2024.SB.MississippiSt,2024.SB.CalStFullerton,2024.SB.SaintMary's-CA,2024.SB.Stanford,2024.SB.CalStFullerton,2024.SB.MississippiSt,2024.SB.SaintMary's-CA,5386.0,2741.0,2382.0,5445.0,1400.0,6457.0,1879.0,1358.0,7921.0,1205.0,2490.0,212.0,30.0,5771.0,27.0,3053.0,183.0,11.0,7580.0,11.0
8,8,2024,Baton Rouge,9,2024.SB.LSU,2024.SB.California,2024.SB.SouthernIll,2024.SB.JacksonSt,2024.SB.LSU,2024.SB.SouthernIll,2024.SB.California,2024.SB.JacksonSt,1737.0,1474.0,3351.0,4198.0,710.0,3243.0,2778.0,7537.0,9130.0,2518.0,9327.0,2050.0,1971.0,9844.0,1952.0,9774.0,3567.0,3599.0,9992.0,3536.0
9,9,2024,Durham,10,2024.SB.Duke,2024.SB.SouthCarolina,2024.SB.Utah,2024.SB.MorganSt,2024.SB.Duke,2024.SB.SouthCarolina,2024.SB.Utah,2024.SB.MorganSt,9543.0,4258.0,3665.0,4468.0,2478.0,9985.0,7194.0,5525.0,7362.0,5381.0,8064.0,6407.0,8046.0,9928.0,6350.0,9800.0,8573.0,8721.0,9949.0,8523.0
