,Year,Team,Conference,UID,YearTeamNumbers
0,2021,Oklahoma,Big 12,2021.SB.Oklahoma,510470
1,2021,James Madison,CAA,2021.SB.JamesMadison,510694
2,2021,Boston U.,Patriot,2021.SB.BostonU,510641
3,2021,UCLA,Pac-12,2021.SB.UCLA,510592
4,2021,Alabama,SEC,2021.SB.Alabama,510624
5,2021,Clemson,ACC,2021.SB.Clemson,510658
6,2021,South Dakota St.,Summit League,2021.SB.SouthDakotaSt,510507
7,2021,Michigan,Big Ten,2021.SB.Michigan,510724
8,2021,Miami-OH,MAC,2021.SB.Miami-OH,510722
9,2021,Florida,SEC,2021.SB.Florida,510661
10,2021,Oklahoma St.,Big 12,2021.SB.OklahomaSt,510469
11,2021,Saint Francis-PA,NEC,2021.SB.SaintFrancis-PA,510490
12,2021,Louisiana,Sun Belt,2021.SB.Louisiana,510519
13,2021,Arkansas,SEC,2021.SB.Arkansas,510631
14,2021,Fordham,Atlantic 10,2021.SB.Fordham,510662
15,2021,Florida St.,ACC,2021.SB.FloridaSt,510590
16,2021,Duke,ACC,2021.SB.Duke,510593
17,2021,George Washington,Atlantic 10,2021.SB.GeorgeWashington,510665
18,2021,Washington,Pac-12,2021.SB.Washington,510549
19,2021,North Texas,CUSA,2021.SB.NorthTexas,510457
20,2021,Illinois St.,MVC,2021.SB.IllinoisSt,510682
21,2021,Fresno St.,Mountain West,2021.SB.FresnoSt,510652
22,2021,Wichita St.,AAC,2021.SB.WichitaSt,510555
23,2021,Texas,Big 12,2021.SB.Texas,510534
24,2021,LIU,NEC,2021.SB.LIU,510703
25,2021,Liberty,ASUN,2021.SB.Liberty,510702
26,2021,SFA,Southland,2021.SB.SFA,510521
27,2021,Tennessee,SEC,2021.SB.Tennessee,510528
28,2021,Texas St.,Sun Belt,2021.SB.TexasSt,510518
29,2021,Delaware,CAA,2021.SB.Delaware,510576
30,2021,Monmouth,MAAC,2021.SB.Monmouth,510731
31,2021,Arizona,Pac-12,2021.SB.Arizona,510630
32,2021,Long Beach St.,Big West,2021.SB.LongBeachSt,510654
33,2021,Kentucky,SEC,2021.SB.Kentucky,510697
34,2021,Cal St. Fullerton,Big West,2021.SB.CalStFullerton,510653
35,2021,Missouri,SEC,2021.SB.Missouri,510730
36,2021,Villanova,Big East,2021.SB.Villanova,510545
37,2021,Virginia Tech,ACC,2021.SB.VirginiaTech,510546
38,2021,Drexel,CAA,2021.SB.Drexel,510579
39,2021,Youngstown St.,Horizon,2021.SB.YoungstownSt,510600
40,2021,Minnesota,Big Ten,2021.SB.Minnesota,510726
41,2021,Oregon,Pac-12,2021.SB.Oregon,510472
42,2021,Southern Ill.,MVC,2021.SB.SouthernIll,510512
43,2021,DePaul,Big East,2021.SB.DePaul,510574
44,2021,BYU,WCC,2021.SB.BYU,510644
45,2021,Notre Dame,ACC,2021.SB.NotreDame,510465
46,2021,Troy,Sun Belt,2021.SB.Troy,510539
47,2021,Western Ky.,CUSA,2021.SB.WesternKy,510553
48,2021,UCF,AAC,2021.SB.UCF,510561
49,2021,Arizona St.,Pac-12,2021.SB.ArizonaSt,510629
50,2021,Eastern Ky.,OVC,2021.SB.EasternKy,510583
51,2021,Ball St.,MAC,2021.SB.BallSt,510634
52,2021,UNC Greensboro,SoCon,2021.SB.UNCGreensboro,510739
53,2021,Central Ark.,Southland,2021.SB.CentralArk,510601
54,2021,UMBC,America East,2021.SB.UMBC,510715
55,2021,Iona,MAAC,2021.SB.Iona,510688
56,2021,Northwestern,Big Ten,2021.SB.Northwestern,510464
57,2021,Southeast Mo. St.,OVC,2021.SB.SoutheastMoSt,510510
58,2021,San Diego St.,Mountain West,2021.SB.SanDiegoSt,510498
59,2021,USC Upstate,Big South,2021.SB.USCUpstate,510614
60,2021,Austin Peay,OVC,2021.SB.AustinPeay,510633
61,2021,Stony Brook,America East,2021.SB.StonyBrook,510523
62,2021,UNLV,Mountain West,2021.SB.UNLV,510743
63,2021,Ole Miss,SEC,2021.SB.OleMiss,510729
64,2021,Charlotte,CUSA,2021.SB.Charlotte,510738
65,2021,South Fla.,AAC,2021.SB.SouthFla,510509
66,2021,UAB,CUSA,2021.SB.UAB,510625
67,2021,Oakland,Horizon,2021.SB.Oakland,510466
68,2021,UNI,MVC,2021.SB.UNI,510461
69,2021,LSU,SEC,2021.SB.LSU,510705
70,2021,Canisius,MAAC,2021.SB.Canisius,510559
71,2021,Fairfield,MAAC,2021.SB.Fairfield,510585
72,2021,Tulsa,AAC,2021.SB.Tulsa,510540
73,2021,Marshall,CUSA,2021.SB.Marshall,510714
74,2021,Central Conn. St.,NEC,2021.SB.CentralConnSt,510560
75,2021,Missouri St.,MVC,2021.SB.MissouriSt,510517
76,2021,Stanford,Pac-12,2021.SB.Stanford,510520
77,2021,Nevada,Mountain West,2021.SB.Nevada,510744
78,2021,Dartmouth,Ivy League,2021.SB.Dartmouth,510572
79,2021,Georgia,SEC,2021.SB.Georgia,510670
80,2021,Iowa St.,Big 12,2021.SB.IowaSt,510689
81,2021,New Mexico St.,WAC,2021.SB.NewMexicoSt,510745
82,2021,South Alabama,Sun Belt,2021.SB.SouthAlabama,510504
83,2021,Campbell,Big South,2021.SB.Campbell,510558
84,2021,FGCU,ASUN,2021.SB.FGCU,510618
85,2021,Jacksonville,ASUN,2021.SB.Jacksonville,510693
86,2021,Iowa,Big Ten,2021.SB.Iowa,510690
87,2021,Seattle U,WAC,2021.SB.SeattleU,510608
88,2021,App State,Sun Belt,2021.SB.AppState,510628
89,2021,UT Martin,OVC,2021.SB.UTMartin,510529
90,2021,Morgan St.,MEAC,2021.SB.MorganSt,510734
91,2021,Toledo,MAC,2021.SB.Toledo,510537
92,2021,Mississippi St.,SEC,2021.SB.MississippiSt,510727
93,2021,Texas A&M,SEC,2021.SB.TexasA&M,510530
94,2021,Manhattan,MAAC,2021.SB.Manhattan,510712
